month,node,pred,ci_lower,ci_upper
2026-05-01,Account Hijacking,2.8129308223724365,1.0176751613616943,4.608186721801758
2026-05-01,Adversarial Attack,1.2632578611373901,-0.12049198150634766,2.647007703781128
2026-05-01,APT,12.52243423461914,6.526350975036621,18.518516540527344
2026-05-01,Backdoor,9.807112693786621,5.404211044311523,14.210014343261719
2026-05-01,Botnet,1.9546704292297363,-0.14618444442749023,4.055525302886963
2026-05-01,Brute Force Attack,6.3333353996276855,2.8291475772857666,9.837523460388184
2026-05-01,Cryptojacking,0.9473108649253845,-0.2813737988471985,2.1759955883026123
2026-05-01,DDoS,188.18185424804688,133.9990997314453,242.36460876464844
2026-05-01,Data Poisoning,1.4399681091308594,0.5663699507713318,2.313566207885742
2026-05-01,Deepfake,0.9665189981460571,-0.3305482864379883,2.2635862827301025
2026-05-01,Disinformation,0.8016024231910706,-0.2709506154060364,1.8741555213928223
2026-05-01,DNS Spoofing,2.0372157096862793,0.38782191276550293,3.6866095066070557
2026-05-01,Dropper,1.0251514911651611,0.1676102876663208,1.8826926946640015
2026-05-01,Insider Threat,22.631521224975586,9.212528228759766,36.050514221191406
2026-05-01,IoT Device Attack,21.18192481994629,13.748880386352539,28.61496925354004
2026-05-01,Malware,5.004454612731934,2.5425562858581543,7.466352939605713
2026-05-01,MITM,11.293436050415039,5.1229705810546875,17.46390151977539
2026-05-01,Password Attack,115.1097412109375,67.60295104980469,162.6165313720703
2026-05-01,Phishing,3.1460418701171875,1.5290876626968384,4.762996196746826
2026-05-01,Ransomware,1.4467499256134033,0.2783452272415161,2.61515474319458
2026-05-01,Session Hijacking,4.1853108406066895,1.6415493488311768,6.729072570800781
2026-05-01,Supply Chain Attack,1.479193091392517,-0.10193705558776855,3.0603232383728027
2026-05-01,Targeted Attack,1.1188830137252808,-0.08672821521759033,2.3244943618774414
2026-05-01,Trojan,2.4094345569610596,0.8747568130493164,3.9441123008728027
2026-05-01,Vulnerability,2026.651123046875,1241.956787109375,2811.345458984375
2026-05-01,Zero-day,0.9732258915901184,-0.10644704103469849,2.05289888381958
2026-05-01,3DFR,1.8050552606582642,0.4755610227584839,3.134549617767334
2026-05-01,AC,1240.1512451171875,852.8853149414062,1627.417236328125
2026-05-01,AD,1513.316650390625,965.52294921875,2061.1103515625
2026-05-01,AM,738.2084350585938,394.9063415527344,1081.510498046875
2026-05-01,AT,85929.6015625,60503.4140625,111355.7890625
2026-05-01,AW,75.31407165527344,48.49341583251953,102.13472747802734
2026-05-01,AdT,68.3974609375,24.481136322021484,112.31378173828125
2026-05-01,BBD,52.84132766723633,30.96874237060547,74.71391296386719
2026-05-01,BC,628.6353149414062,383.63336181640625,873.6372680664062
2026-05-01,BH,96.5085678100586,64.7603759765625,128.2567596435547
2026-05-01,BN,239.10595703125,148.62144470214844,329.5904541015625
2026-05-01,BO,85.1031723022461,53.317020416259766,116.88932800292969
2026-05-01,BT,222.42477416992188,151.7276611328125,293.12188720703125
