threat,pat,gap_2026,gap_2027,category,gap_magnitude_2027
Supply Chain Attack,BC,-0.36842906152463745,-0.35812273623503793,ONG,0.35812273623503793
Supply Chain Attack,AD,-0.36628814318801606,-0.35571364650131293,ONG,0.35571364650131293
Password Attack,CAPTCHA,0.38301275446132566,0.33890098333181884,ONG,0.33890098333181884
APT,UBA,0.3642375132892554,0.3336350676515447,ONG,0.3336350676515447
MITM,SSP,0.3180701506937236,0.3317612715693851,ONG,0.3317612715693851
APT,IDS/IPS,0.3360045579552566,0.3154019636345626,ONG,0.3154019636345626
Dropper,ML/DL,-0.2872585991260136,-0.30196889934928023,ONG,0.30196889934928023
Insider Threat,UBA,0.3123001235062722,0.29735423149779155,ONG,0.29735423149779155
Insider Threat,IDS/IPS,0.28406716817227334,0.27912112748080936,ONG,0.27912112748080936
Data Poisoning,ML/DL,-0.27233352840529346,-0.27281642837649994,ONG,0.27281642837649994
MITM,CAPTCHA,0.2953268042787697,0.2720044282338636,ONG,0.2720044282338636
Backdoor,IDS/IPS,0.27407646478673237,0.2681310544501802,ONG,0.2681310544501802
Ransomware,ML/DL,-0.24360091010002494,-0.25182203583579055,ONG,0.25182203583579055
Targeted Attack,ML/DL,-0.22117051830745327,-0.24629490334594273,ONG,0.24629490334594273
Disinformation,ML/DL,-0.20364941996122898,-0.24600351665238987,ONG,0.24600351665238987
Cryptojacking,ML/DL,-0.21247378397151534,-0.2441380258655859,ONG,0.2441380258655859
Deepfake,ML/DL,-0.20743818380192075,-0.2418661500226745,ONG,0.2418661500226745
Account Hijacking,ML/DL,-0.23965338890995372,-0.2293928245774796,ONG,0.2293928245774796
Adversarial Attack,ML/DL,-0.19705076873446709,-0.2251718935712748,ONG,0.2251718935712748
Zero-day,ML/DL,-0.16496359055867194,-0.21365258110251917,ONG,0.21365258110251917
DNS Spoofing,ML/DL,-0.2067313130205362,-0.20966404751505388,ONG,0.20966404751505388
Trojan,ML/DL,-0.21623268718629624,-0.20851830452837086,ONG,0.20851830452837086
Session Hijacking,ML/DL,-0.2056704392097738,-0.1926469301695317,ONG,0.1926469301695317
Supply Chain Attack,ML/DL,-0.14761903317756003,-0.1805238763779923,ONG,0.1805238763779923
Vulnerability,ML/DL,0.21928688065524934,0.17592474128027633,ONG,0.17592474128027633
DDoS,ML/DL,0.21863807802798005,0.17472128942691278,ONG,0.17472128942691278
Password Attack,ML/DL,0.21853443037408515,0.17429365709255665,ONG,0.17429365709255665
Malware,IDS/IPS,0.15104716491543946,0.15436168985778445,ONG,0.15436168985778445
Phishing,ML/DL,-0.15311844579105743,-0.15263069077753966,ONG,0.15263069077753966
Brute Force Attack,OTP,-0.16846830176425648,-0.1499025802511233,ONG,0.1499025802511233
Brute Force Attack,IDS/IPS,0.14452874129979976,0.1494261131167504,ONG,0.1494261131167504
IoT Device Attack,ML/DL,0.1762745417268255,0.1461017249949455,ONG,0.1461017249949455
Malware,VK,0.1363401672218362,0.13432164304968527,ONG,0.13432164304968527
Dropper,SBX,-0.10249642657752589,-0.1291060773358643,ONG,0.1291060773358643
Malware,SHMM,0.12910130741260883,0.12501411163847825,ONG,0.12501411163847825
MITM,ML/DL,0.13084848019152914,0.10739710199460145,ONG,0.10739710199460145
Malware,SBX,0.11598097428529937,0.10723052831129835,ONG,0.10723052831129835
APT,ML/DL,0.11617619477662879,0.09540798007466049,ONG,0.09540798007466049
Session Hijacking,SSL/TLS,0.0952753938317764,0.09516692454632003,ONG,0.09516692454632003
Password Attack,OTP,0.1253657504886567,0.09495894728458504,ONG,0.09495894728458504
Brute Force Attack,CAPTCHA,0.08917870220841248,0.0940394557961105,ONG,0.0940394557961105
APT,NS,-0.10051537229568089,-0.08344694715872332,ONG,0.08344694715872332
Dropper,IDS/IPS,-0.06743023594738581,-0.08197491578937817,ONG,0.08197491578937817
Supply Chain Attack,NLP/LLM,0.06752309784217647,0.07555490510829242,ONG,0.07555490510829242
MITM,CR,-0.09196219862216198,-0.07261736684649964,ONG,0.07261736684649964
MITM,PT,-0.09112233015785337,-0.07161615360786228,ONG,0.07161615360786228
MITM,CP,-0.0911260632439933,-0.07159226784010836,ONG,0.07159226784010836
Zero-day,VM,0.11228896313199718,0.07145787204243238,ONG,0.07145787204243238
Brute Force Attack,ML/DL,-0.07529962187882805,-0.07056787044315167,ONG,0.07056787044315167
MITM,BC,-0.08996154815554827,-0.07020175786244415,ONG,0.07020175786244415
Data Poisoning,AdT,-0.03136846913255527,-0.06928502729354401,ONG,0.06928502729354401
Malware,ML/DL,-0.06878119826318835,-0.06563229370211758,ONG,0.06563229370211758
Account Hijacking,CAPTCHA,-0.07517506482271319,-0.06478549833821744,ONG,0.06478549833821744
Ransomware,SHMM,-0.04571840442422778,-0.06117563049519472,ONG,0.06117563049519472
Insider Threat,ML/DL,0.06423880499364555,0.059127143920907316,ONG,0.059127143920907316
Dropper,AW,-0.510810925180266,-0.481675080409432,OWG,0.481675080409432
Dropper,PT,-0.5092294094753961,-0.48098215495174396,OWG,0.48098215495174396
Dropper,CS,-0.5067176762106647,-0.4782335882474424,OWG,0.4782335882474424
Dropper,FIM,-0.505011229201756,-0.47374165670036755,OWG,0.47374165670036755
Data Poisoning,OD,-0.49648457067029,-0.4537832518881974,OWG,0.4537832518881974
Data Poisoning,DP,-0.4961420838719278,-0.4537272382359642,OWG,0.4537272382359642
Data Poisoning,DS,-0.4918276229690798,-0.44879172041453574,OWG,0.44879172041453574
Data Poisoning,AD,-0.4910026384157495,-0.44800619849982054,OWG,0.44800619849982054
Data Poisoning,BN,-0.49105651403244927,-0.44774269904739566,OWG,0.44774269904739566
Ransomware,PMT,-0.4679352635486645,-0.4319314665061483,OWG,0.4319314665061483
Ransomware,CR,-0.46641158891371604,-0.43183650467689166,OWG,0.43183650467689166
Ransomware,DT,-0.4666068331148353,-0.43182239371906767,OWG,0.43182239371906767
Ransomware,AW,-0.4671532361542774,-0.4315282168959424,OWG,0.4315282168959424
Ransomware,PT,-0.4655717204494074,-0.4308352914382543,OWG,0.4308352914382543
Ransomware,AC,-0.4648351038930367,-0.42998612986342505,OWG,0.42998612986342505
Ransomware,BC,-0.46441093844710235,-0.4294208956928361,OWG,0.4294208956928361
Ransomware,AD,-0.46227002011048096,-0.4270118059591112,OWG,0.4270118059591112
Ransomware,SA,-0.46102445620734206,-0.42548950167115235,OWG,0.42548950167115235
Ransomware,DB,-0.46075617311462963,-0.425245489295857,OWG,0.425245489295857
Ransomware,DAS,-0.45907835738564673,-0.42304342604432393,OWG,0.42304342604432393
DNS Spoofing,CR,-0.4295419918342273,-0.38967851635615497,OWG,0.38967851635615497
DNS Spoofing,PT,-0.4287021233699187,-0.38867730311751764,OWG,0.38867730311751764
DNS Spoofing,RA,-0.4278329750050284,-0.3876017705564059,OWG,0.3876017705564059
DNS Spoofing,BC,-0.42754134136761357,-0.38726290737209945,OWG,0.38726290737209945
APT,NLP/LLM,0.3313183257963653,0.3514867615609452,OWG,0.3514867615609452
Session Hijacking,Https,-0.37926364476157653,-0.33966824643078475,OWG,0.33966824643078475
Phishing,BT,-0.37862281412493776,-0.33577510025336704,OWG,0.33577510025336704
