month,node,pred,ci_lower,ci_upper
2023-01-01,Account Hijacking,1.9276102781295776,-0.8929578065872192,4.748178482055664
2023-01-01,Adversarial Attack,2.4963135719299316,-1.5916428565979004,6.584270000457764
2023-01-01,APT,7.768720626831055,2.772550106048584,12.764890670776367
2023-01-01,Backdoor,4.79283332824707,-0.1450357437133789,9.73070240020752
2023-01-01,Botnet,1.2384389638900757,-1.4956666231155396,3.9725446701049805
2023-01-01,Brute Force Attack,6.260819435119629,-0.28749608993530273,12.809135437011719
2023-01-01,Cryptojacking,1.1225942373275757,-0.4647035598754883,2.7098920345306396
2023-01-01,DDoS,140.2340545654297,99.5506362915039,180.91748046875
2023-01-01,Data Poisoning,6.044713973999023,2.45310378074646,9.636323928833008
2023-01-01,Deepfake,0.8686783909797668,-0.38572555780410767,2.123082399368286
2023-01-01,Disinformation,1.0266557931900024,-0.42972826957702637,2.4830398559570312
2023-01-01,DNS Spoofing,1.6790385246276855,-1.7545733451843262,5.112650394439697
2023-01-01,Dropper,6.135241985321045,1.6179938316345215,10.652490615844727
2023-01-01,Insider Threat,14.126179695129395,4.664538383483887,23.58782196044922
2023-01-01,IoT Device Attack,15.066553115844727,7.818499565124512,22.314605712890625
2023-01-01,Malware,4.57161808013916,0.8508152961730957,8.292421340942383
2023-01-01,MITM,15.169130325317383,5.371854782104492,24.966405868530273
2023-01-01,Password Attack,108.3230209350586,63.87673568725586,152.76930236816406
2023-01-01,Phishing,6.719295978546143,0.1925358772277832,13.246055603027344
2023-01-01,Ransomware,1.5241554975509644,-1.2848750352859497,4.333186149597168
2023-01-01,Session Hijacking,3.054892063140869,-0.6376163959503174,6.747400283813477
2023-01-01,Supply Chain Attack,1.8155055046081543,-0.8076827526092529,4.438694000244141
2023-01-01,Targeted Attack,1.1927800178527832,-0.3997652530670166,2.785325288772583
2023-01-01,Trojan,3.117248058319092,0.23885631561279297,5.995639801025391
2023-01-01,Vulnerability,1292.0379638671875,791.2509765625,1792.824951171875
2023-01-01,Zero-day,4.00276517868042,-1.643104076385498,9.64863395690918
2023-01-01,3DFR,2.365302562713623,-0.48781442642211914,5.218419551849365
2023-01-01,AC,1191.911865234375,820.1406860351562,1563.68310546875
2023-01-01,AD,1322.9783935546875,844.026123046875,1801.9306640625
2023-01-01,AM,613.6617431640625,328.3279724121094,898.9954833984375
2023-01-01,AT,75795.0,53365.8984375,98224.1015625
2023-01-01,AW,67.97440338134766,43.259178161621094,92.68962860107422
2023-01-01,AdT,52.6776008605957,34.26036834716797,71.09483337402344
2023-01-01,BBD,25.826257705688477,10.891290664672852,40.76122283935547
2023-01-01,BC,437.72674560546875,267.49261474609375,607.9608764648438
2023-01-01,BH,83.7117691040039,55.43391418457031,111.9896240234375
2023-01-01,BN,184.46800231933594,114.7260971069336,254.20989990234375
2023-01-01,BO,57.342796325683594,33.620697021484375,81.06489562988281
2023-01-01,BT,182.72421264648438,124.32158660888672,241.1268310546875
2023-01-01,CA,1808.312255859375,1325.5361328125,2291.08837890625
2023-01-01,CAPTCHA,5.158429145812988,-0.2973365783691406,10.614194869995117
2023-01-01,CFI,62.0360107421875,35.4338264465332,88.63819885253906
2023-01-01,CP,636.7933349609375,392.887451171875,880.69921875
2023-01-01,CR,1182.0,740.907958984375,1623.092041015625
2023-01-01,CS,767.9347534179688,520.4124755859375,1015.45703125
2023-01-01,DA,909.6793823242188,614.560791015625,1204.7979736328125
2023-01-01,DAS,294.0012512207031,189.86410522460938,398.1383972167969
2023-01-01,DB,1386.1380615234375,995.8065185546875,1776.4696044921875
2023-01-01,DBI,163.54701232910156,116.83015441894531,210.2638702392578
2023-01-01,DD,181.8517303466797,101.26663208007812,262.43682861328125
2023-01-01,DLD,32.03502655029297,17.51699447631836,46.55305862426758
2023-01-01,DLP,25.476545333862305,14.791781425476074,36.16130828857422
2023-01-01,DLT,25.26117706298828,15.096120834350586,35.426231384277344
2023-01-01,DM,505.34808349609375,341.5976257324219,669.0985107421875
2023-01-01,DNSSEC,2.57370662689209,-0.9961838722229004,6.14359712600708
2023-01-01,DP,245.36204528808594,162.89227294921875,327.8318176269531
2023-01-01,DR,626.8659057617188,462.80487060546875,790.9269409179688
2023-01-01,DRM,31.146032333374023,16.061134338378906,46.23093032836914
2023-01-01,DS,337.8831481933594,229.52459716796875,446.24169921875
2023-01-01,DT,196.56602478027344,121.60636138916016,271.52569580078125
2023-01-01,DW,163.13832092285156,105.93144226074219,220.34519958496094
2023-01-01,FIM,34.73860549926758,22.877918243408203,46.59929275512695
2023-01-01,FV,84.34974670410156,59.85394287109375,108.84555053710938
2023-01-01,GA,839.1315307617188,587.619384765625,1090.6436767578125
2023-01-01,GM,295.45111083984375,187.11358642578125,403.78863525390625
2023-01-01,GT,123.02606964111328,78.9674072265625,167.08473205566406
2023-01-01,HG,452.06439208984375,290.3446350097656,613.7841796875
2023-01-01,HP,232.6053009033203,138.77183532714844,326.43878173828125
2023-01-01,Https,588.529052734375,378.9783935546875,798.0797119140625
2023-01-01,IBE,8.268924713134766,2.801614761352539,13.736234664916992
2023-01-01,IDS/IPS,2.2614896297454834,-1.5215482711791992,6.044527530670166
2023-01-01,IR,1848.0794677734375,1249.9364013671875,2446.22265625
2023-01-01,IdM,11.730825424194336,5.039541244506836,18.422109603881836
2023-01-01,KD,173.04527282714844,116.75668334960938,229.3338623046875
